 *********************************************
 (reference: Madau 1995, ApJ)
 
 redshift= 0.0
 observed    IGM effective  IGM mean transmission  
 wavelength  optical depth  <exp(-tau)>
 *********************************************
    789.4000  0.755291E+00  0.469874E+00
    731.9500  0.686327E+00  0.503422E+00
    674.5000  0.616568E+00  0.539794E+00
    617.0500  0.546353E+00  0.579058E+00
    559.6000  0.476102E+00  0.621200E+00
    502.1500  0.406318E+00  0.666098E+00
    444.7000  0.337593E+00  0.713485E+00
    387.2500  0.270610E+00  0.762914E+00
    329.8000  0.206170E+00  0.813695E+00
    272.3500  0.145327E+00  0.864740E+00
    214.9000  0.899308E-01  0.913994E+00
    157.4500  0.437680E-01  0.957176E+00
    100.0000  0.130341E-01  0.987050E+00
 *********************************************
 redshift= 1.2
 *********************************************
   2674.4741  0.550916E-01  0.946398E+00
   2465.5291  0.415766E-01  0.959276E+00
   2256.5840  0.306043E-01  0.969859E+00
   2256.5840  0.566198E-01  0.944953E+00
   2198.0827  0.517009E-01  0.949613E+00
   2139.5814  0.470938E-01  0.953998E+00
   2139.5814  0.652220E-01  0.936860E+00
   2114.5080  0.626153E-01  0.939305E+00
   2089.4346  0.600836E-01  0.941686E+00
   2089.4346  0.744839E-01  0.928222E+00
   2076.3006  0.728764E-01  0.929716E+00
   2063.1666  0.712937E-01  0.931188E+00
   2063.1666  0.834751E-01  0.919914E+00
   2055.4061  0.823937E-01  0.920909E+00
   2047.6456  0.813223E-01  0.921896E+00
   2047.6456  0.919841E-01  0.912120E+00
   2042.6714  0.912132E-01  0.912823E+00
   2037.6972  0.904470E-01  0.913523E+00
   2037.6972  0.999901E-01  0.904846E+00
   2034.3136  0.994168E-01  0.905365E+00
   2030.9300  0.988458E-01  0.905882E+00
   2030.9300  0.107515E+00  0.898063E+00
   2028.5243  0.107075E+00  0.898458E+00
   2026.1186  0.106636E+00  0.898852E+00
   2026.1186  0.114594E+00  0.891728E+00
   2024.3465  0.114248E+00  0.892037E+00
   2022.5744  0.113902E+00  0.892345E+00
   2022.5744  0.121274E+00  0.885792E+00
   2021.2291  0.120995E+00  0.886039E+00
   2019.8838  0.120716E+00  0.886285E+00
   2019.8838  0.127583E+00  0.880221E+00
   2018.8410  0.127355E+00  0.880421E+00
   2017.7982  0.127128E+00  0.880621E+00
   2017.7982  0.133555E+00  0.874979E+00
   2016.9710  0.133366E+00  0.875145E+00
   2016.1438  0.133176E+00  0.875311E+00
   2016.1438  0.139217E+00  0.870040E+00
   2015.4783  0.139058E+00  0.870178E+00
   2014.8128  0.138899E+00  0.870316E+00
   2014.8128  0.144592E+00  0.865376E+00
   2014.2683  0.144456E+00  0.865493E+00
   2013.7238  0.144321E+00  0.865609E+00
   2013.7238  0.149708E+00  0.860959E+00
   2013.2728  0.149592E+00  0.861059E+00
   2012.8218  0.149476E+00  0.861159E+00
   2012.8218  0.154578E+00  0.856776E+00
   2012.4445  0.154478E+00  0.856862E+00
   2012.0672  0.154378E+00  0.856948E+00
   2012.0672  0.159220E+00  0.852808E+00
   2008.9586  0.158371E+00  0.853533E+00
   2005.8500  0.157525E+00  0.854256E+00
   2005.8500  0.157525E+00  0.854256E+00
   1942.3217  0.284233E+00  0.752592E+00
   1878.7934  0.400871E+00  0.669736E+00
   1815.2650  0.507682E+00  0.601889E+00
   1751.7367  0.604887E+00  0.546136E+00
   1688.2084  0.692688E+00  0.500229E+00
   1624.6800  0.771266E+00  0.462427E+00
   1561.1517  0.840780E+00  0.431374E+00
   1497.6234  0.901369E+00  0.406014E+00
   1434.0950  0.953148E+00  0.385526E+00
   1370.5667  0.996212E+00  0.369276E+00
   1307.0384  0.103063E+01  0.356781E+00
   1243.5100  0.105646E+01  0.347683E+00
   1179.9817  0.107373E+01  0.341730E+00
   1116.4534  0.108245E+01  0.338764E+00
   1052.9250  0.108261E+01  0.338711E+00
    989.3967  0.107418E+01  0.341579E+00
    925.8684  0.105712E+01  0.347455E+00
    862.3400  0.982970E+00  0.374198E+00
    798.8117  0.892853E+00  0.409486E+00
    735.2833  0.801689E+00  0.448571E+00
    671.7550  0.709874E+00  0.491706E+00
    608.2267  0.617933E+00  0.539058E+00
    544.6983  0.526516E+00  0.590660E+00
    481.1700  0.436408E+00  0.646354E+00
    417.6417  0.348538E+00  0.705719E+00
    354.1133  0.264014E+00  0.767963E+00
    290.5850  0.184326E+00  0.831664E+00
    227.0567  0.112107E+00  0.893948E+00
    163.5283  0.525889E-01  0.948770E+00
    100.0000  0.141265E-01  0.985973E+00
 *********************************************
 redshift= 1.4
 *********************************************
   2917.6080  0.744446E-01  0.928259E+00
   2689.6680  0.561821E-01  0.945367E+00
   2461.7280  0.413553E-01  0.959488E+00
   2461.7280  0.765097E-01  0.926344E+00
   2397.9084  0.698629E-01  0.932522E+00
   2334.0888  0.636373E-01  0.938345E+00
   2334.0888  0.881337E-01  0.915638E+00
   2306.7360  0.846114E-01  0.918869E+00
   2279.3832  0.811903E-01  0.922018E+00
   2279.3832  0.100649E+00  0.904250E+00
   2265.0552  0.984771E-01  0.906216E+00
